127.0.0.1 - - [30/Sep/2014:07:50:52 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:56 -0300] "GET /Psearch/index.jsp HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/css/demo.css HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/css/style1.css HTTP/1.1" 200 5947
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/css/inicioCss.css HTTP/1.1" 200 3279
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/css/component.css HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/css/component2.css HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/css/component3.css HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/js/modernizr.custom.86080.js HTTP/1.1" 200 6503
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/images/ModalIcon.png HTTP/1.1" 200 4477
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/images/LogoBranco.png HTTP/1.1" 200 29893
0:0:0:0:0:0:0:1 - - [30/Sep/2014:07:50:57 -0300] "GET /Psearch/css/images/proficao.png HTTP/1.1" 404 1013
127.0.0.1 - - [30/Sep/2014:07:51:30 -0300] "GET /Psearch/index.jsp HTTP/1.1" 200 2849
127.0.0.1 - - [30/Sep/2014:07:51:30 -0300] "GET /Psearch/css/demo.css HTTP/1.1" 200 4438
127.0.0.1 - - [30/Sep/2014:07:51:30 -0300] "GET /Psearch/css/component.css HTTP/1.1" 200 790
127.0.0.1 - - [30/Sep/2014:07:51:30 -0300] "GET /Psearch/css/style1.css HTTP/1.1" 200 5947
