what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1408378487584
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1408378487647
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1408378487693
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1408378487693
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1408378487709
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1408378487725
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1408378491063
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1408378491157
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1408378492233
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1408378493247
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1408378493356
